title,bag_of_words
Origin: Spirits of the Past (Gin-iro no kami no Agito) (2006),animation drama romance sci-fi future forest 24th century post apocalypse  
Goya's Ghosts (2006),drama christianity female nudity spanish history period drama  
Perfect Stranger (2007),crime drama mystery thriller murder of a nude woman nudity erotic thriller sex standing up  
Disturbia (2007),drama thriller house arrest watching someone neighbor voyeur  
Pathfinder (2007),action adventure drama thriller war viking native american native american hunter sword and shield  
Aqua Teen Hunger Force Colon Movie Film for Theaters (2007),action adventure animation comedy fantasy mystery sci-fi midnight movie adult animation exercise machine robot  
"Private Affairs of Bel Ami, The (1947)",drama nan  
Straight Time (1978),crime drama nan  
Tristana (1970),drama nan  
Puccini for Beginners (2006),comedy romance love manhattan new york city bisexual woman woman relationship  
Slow Burn (2005),drama mystery thriller female nudity topless female nudity peeping cardboard cutout  
Redline (2007),action elvis presley character elvis impersonator ferrari porsche  
Summer Palace (Yihe yuan) (2006),drama romance two word title season in title female protagonist scene during opening credits  
In the Year of the Pig (1968),documentary war nan  
"Mackintosh Man, The (1973)",action drama thriller nan  
"Vie en Rose, La (Môme, La) (2007)",drama musical female singer title based on song based on true story marcel cerdan character  
"Man - Woman Wanted (Poszukiwany, poszukiwana) (1973)",comedy nan  
"Resurrected, The (1992)",horror psychotronic film remake based on the works of h.p. lovecraft two word title  
"Contract, The (2006)",crime drama thriller river basketball baseball die hard scenario  
Fracture (2007),crime drama mystery thriller police murder weapon court engineer  
Big Nothing (2006),comedy crime thriller kinky sex loud sex voyeurism voyeur  
Woman on the Beach (Haebyeonui yeoin) (2006),comedy drama south korea self realization seaside production designer  
Smash-Up: The Story of a Woman (1947),drama romance nan  
Vacancy (2007),horror thriller slasher motel trapped remote place  
Benny's Video (1992),drama horror murder child uses a gun video gym  
In the Land of Women (2007),comedy drama romance writer running into a tree shower death of grandmother  
"Devil Commands, The (1941)",horror sci-fi nan  
Mr. Bean's Holiday (2007),comedy france train lost passport toilet  
Adam & Paul (2004),comedy drama ireland stealing buddy movie drugs  
"Invisible, The (2007)",crime drama fantasy mystery thriller punched in the face remake of swedish film remake psychotronic film  
Kickin It Old Skool (2007),comedy slapstick talent show coma shopping mall  
"Condemned, The (2007)",action adventure crime thriller island last man standing website jungle  
Spider-Man 3 (2007),action adventure sci-fi thriller imax spider man villain peter parker character alien parasite  
Lucky You (2007),comedy drama poker poker player losing reference to frederic chopin  
It's a Very Merry Muppet Christmas Movie (2002),children comedy campy nbc god guardian angel  
"Furies, The (1950)",drama romance western nan  
21 Up (1977),documentary nan  
Kiss Me Again (2006),drama romance central park female exhibitionist husband and wife have sex with the same woman jealous wife  
Hana (Hana yori mo naho) (2006),comedy drama samurai revenge 18th century  
Sharkwater (2006),documentary shark underwater sea shepherd boat  
West (Occident) (2002),comedy nan  
Flannel Pajamas (2006),romance pubic hair dysfunctional marriage voyeurism female masturbation  
Tales from Earthsea (Gedo Senki) (2006),adventure animation fantasy studio ghibli three word title based on a novel dragon  
Thieves' Highway (1949),drama film-noir thriller nan  
Maniac Cop (1988),action crime horror thriller nan  
Year of the Dog (2007),comedy drama romance american society for the prevention of cruelty to animals dog love office  
Thr3e (Three) (2006),drama horror mystery thriller riddle number stalking flash forward  
"Rocket, The (a.k.a. Maurice Richard) (2005)",drama french canadian hockey player 1930s montreal canadiens  
Diggers (2006),comedy drama digger clam clam digger long island new york  
"Ex, The (2007)",comedy romance slacker as protagonist wheelchair father in law cook  
Woman Is the Future of Man (Yeojaneun namjaui miraeda) (2004),drama missionary kissing while having sex passionate kiss old friend  
Paprika (Papurika) (2006),animation mystery sci-fi lucid dream virtual reality movie theatre dream  
"Flying Scotsman, The (2006)",drama bicycle underdog scot courier  
Sylvia Scarlett (1935),comedy drama romance nan  
Fixed Bayonets! (1951),drama war nan  
Syndromes and a Century (Sang sattawat) (2006),drama doctor hospital dental mask surgical mask  
Red Road (2006),drama female explicit nudity cunnilingus alliterative title labia  
"Adventures of Mark Twain, The (1986)",adventure animation children nan  
At Five in the Afternoon (Panj é asr) (2003),drama afghanistan burqa horse f rated  
Day Watch (Dnevnoy dozor) (2006),action fantasy horror thriller year 2006 2000s year 1992 1990s  
This Is England (2006),drama xenophobia racism nationalism hate crime  
One Nite In Mongkok (Wong gok hak yau) (2004),action crime drama gangster bloodstain police corruption hong kong china  
Away from Her (2006),drama nursing home alzheimer's disease skiing fisher  
Knocked Up (2007),comedy drama romance panties pulled down one night stand female frontal nudity unplanned pregnancy  
Hairspray (2007),comedy drama musical tv dance show racial tension racial segregation racial integration  
"Zidane: A 21st Century Portrait (Zidane, un portrait du 21e siècle) (2006)",documentary professional soccer player superstar sports man soccer documentary  
28 Weeks Later (2007),horror sci-fi thriller infection zombie film zombie outbreak zombie apocalypse  
Georgia Rule (2007),comedy drama romance rules watching tv summer secret  
Delta Farce (2007),action adventure comedy village army mexico bloopers during credits  
Wheels on Meals (Kuai can che) (1984),action comedy crime romance nan  
Jonestown: The Life and Death of Peoples Temple (2006),documentary suicide preacher mass suicide guyana  
Red Dust (1932),drama nan  
Tokyo Olympiad (1965),documentary nan  
Caught (1949),drama film-noir nan  
Blood Trails (2006) ,horror thriller tape over mouth slasher one night stand mountain  
Shrek the Third (2007),adventure animation children comedy fantasy shrek king puss in boots prince  
Once (2006),drama musical romance independent film ireland payphone watching television  
Pirates of the Caribbean: At World's End (2007),action adventure comedy fantasy mass hanging pirate goddess treachery  
Bug (2007),drama horror thriller breast sucking power of suggestion based on play male frontal nudity  
Mr. Brooks (2007),crime drama thriller murder secret fingerprint female detective  
Rise: Blood Hunter (2007),action horror mystery thriller reporter morgue revenge blood  
Gracie (2007),drama character name as title nickname as title never give up believe in yourself  
"Librarian: Return to King Solomon's Mines, The (2006)",action adventure fantasy mine king solomon skull scroll  
"Librarian: Quest for the Spear, The (2004)",action adventure comedy fantasy romance librarian unlikely hero woman leader woman leading a man on  
Fay Grim (2006),action thriller notebook fugitive cia agent cia  
"Man from Planet X, The (1951)",horror romance sci-fi nan  
Zoo (2007),documentary horse male frontal nudity cremation surrealism  
"I'm a Cyborg, But That's OK (Saibogujiman kwenchana) (2006)",comedy drama romance sci-fi six word title female protagonist female mental patient female cyborg  
Beauty in Trouble (Kráska v nesnázích) (2006),drama male frontal nudity male rear nudity male nudity female nudity  
Eagle vs Shark (2007),comedy man wears eyeglasses dead brother shark eagle  
88 Minutes (2008),crime drama mystery thriller erect nipples serial killer mysterious villain race against time  
"Great War, The (Grande guerra, La) (1959)",action adventure comedy drama war nan  
Day Night Day Night (2006),crime drama thriller bomb in a backpack bomber backpack suicide bomber  
Cashback (2006),comedy drama romance female full frontal nudity nipples female explicit nudity shaved vagina  
Ocean's Thirteen (2007),crime thriller heist revenge casino tunnel boring machine  
Them (Ils) (2006),horror night intruder underground tunnel tunnel  
Flandres (Flanders) (2006),action drama war castration shot in the head death country life  
Ten Canoes (2006),adventure comedy drama war overweight hunt aboriginal culture story  
Sheitan (2006),comedy horror thriller incest chewing with one's mouth open christmas fight  
Sun Alley (Sonnenallee) (1999),comedy romance border east germany east berlin psychedelic mushroom  
Godzilla and Mothra: The Battle for Earth (Gojira vs. Mosura) (1992),action sci-fi shared universe psychotronic film godzilla character mothra character  
Godzilla vs. Destroyah (Gojira vs. Desutoroiâ) (1995) ,action sci-fi aeroplane military japanese woman japanese military  
Godzilla vs. King Ghidorah (Gojira vs. Kingu Gidorâ) (1991),action sci-fi godzilla 1940s 1990s time travel  
"Ghost Ship, The (1943)",drama mystery thriller nan  
Experiment Perilous (1944),romance thriller nan  
Go (2001),drama prejudice racist based on a novel japanese  
Alone with Her (2006),crime drama thriller female pubic hair masturbation pubic hair panties  
Hostel: Part II (2007),crime horror thriller breasts torture extreme violence tied feet  
Remember the Night (1940),comedy drama romance nan  
Paranoid Park (2007),crime drama panties bra underage sex blonde  
"Legend of Sleepy Hollow, The (1980)",comedy fantasy horror nan  
Starcrash (a.k.a. Star Crash) (1978),action adventure fantasy sci-fi nan  
Surf's Up (2007),animation children comedy anthropomorphic penguin surfing penguin competition  
Fantastic Four: Rise of the Silver Surfer (2007),action adventure sci-fi 2000s watching tv human torch character stan lee cameo  
Nancy Drew (2007),adventure crime thriller girl short skirt murder movie star  
Fido (2006),comedy horror thriller neighbor suburb classroom character name as title  
"Iceberg, L' (2005)",comedy restaurant boat seaside f rated  
Who the #$&% is Jackson Pollock? (2006),documentary question in title  
Death Proof (2007),action adventure crime horror thriller camera shot of a woman's bare feet psychopath hot pants foot fetish  
Robot Monster (1953),horror sci-fi nan  
Rescue Dawn (2006),action adventure drama war man tied up guard prisoner bombing  
"Blue Bird, The (1940)",children fantasy nan  
"Wedding Night, The (1935)",drama romance nan  
